city,mean_odw,mean_iq_odw,mean_odw_hw,mean_iq_odw_hw,year,route_sample
Adelaide,1,1,1,1,2019,2019
Brisbane,1,1,1,1,2019,2019
Melbourne,1,1,1,1,2019,2019
Perth,1,1,1,1,2019,2019
Sydney,1,1,1,1,2019,2019
Adelaide,1.006124588,1.093118741,1.010956362,1.134110333,2020,2019
Brisbane,0.977703985,1.061287895,0.971051028,1.043487815,2020,2019
Melbourne,0.932193974,0.69497198,0.912230451,0.632400314,2020,2019
Perth,0.986390527,0.969344092,0.983669044,0.958857436,2020,2019
Sydney,0.973058469,0.895372966,0.967731521,0.897858358,2020,2019
Adelaide,1.007611843,0.842109863,0.986971135,0.763085225,2021,2021
Brisbane,1.026531984,1.445097423,1.030863158,1.472307157,2021,2021
Melbourne,1.014916527,1.189767075,1.014958948,1.202912713,2021,2021
Perth,1.008157384,1.148246989,1.000109295,1.093361692,2021,2021
Sydney,1.008966893,1.02695188,1.002105642,1.004408779,2021,2021
Melbourne,1.010613578,1.208873094,1.010572128,1.212773575,2021,2019
Sydney,1.003890828,1.058615464,1.000266169,1.050517399,2021,2019
