hour,LQ_est,med_est,UQ_est,LQ_est_char,med_est_char,UQ_est_char,n_obvs,route_name
0,1283.051238151485,1035.808048777662,888.5404691756627,21m23.0512382s,17m15.8080488s,15m48.5404692s,12018,12 - A9 to M7
1,1456.930451253947,1195.2447644276551,1025.6957131017887,24m16.9304513s,20m55.2447644s,17m5.6957131s,8564,12 - A9 to M7
2,1372.1755229782077,1080.4650595039593,934.6770938187786,23m52.175523s,18m0.465059504s,16m34.6770938s,7518,12 - A9 to M7
3,1275.7202668670354,1021.6908125756902,859.476036579079,21m15.7202669s,17m1.69081258s,14m19.4760366s,3663,12 - A9 to M7
4,1374.9198996848854,1067.9056038238605,892.7305728840505,23m54.9198997s,18m47.9056038s,15m52.7305729s,2721,12 - A9 to M7
5,1160.436929695399,953.5156623402119,857.9732892894851,19m20.4369297s,16m53.5156623s,14m17.9732893s,10885,12 - A9 to M7
6,1271.1064286114465,994.4212298617457,870.9879304311207,21m11.1064286s,17m34.4212299s,15m30.9879304s,19288,12 - A9 to M7
7,1607.8122141668337,1090.958644663621,897.2900204463531,27m47.8122142s,18m10.9586447s,15m57.2900204s,13029,12 - A9 to M7
8,1817.4541330208428,1170.9292768894184,912.7383041265336,30m17.454133s,20m30.9292769s,15m12.7383041s,12363,12 - A9 to M7
9,1319.5098748501366,1019.3414501226698,879.5663192570605,22m59.5098749s,17m59.3414501s,15m39.5663193s,12849,12 - A9 to M7
10,1330.7724231581544,1007.3639858619007,879.6738670373943,22m10.7724232s,17m47.3639859s,15m39.673867s,13569,12 - A9 to M7
11,1315.5215664350605,1008.4445813025376,880.9913828759037,22m55.5215664s,17m48.4445813s,15m40.9913829s,15658,12 - A9 to M7
12,1332.721917187633,1018.2331034760035,881.3794115813249,22m12.7219172s,17m58.2331035s,15m41.3794116s,15114,12 - A9 to M7
13,1298.2791618280955,1011.5341241926683,877.9123459451104,22m38.2791618s,17m51.5341242s,15m37.9123459s,15333,12 - A9 to M7
14,1347.6416221185148,1046.1443378565366,898.3010366849984,22m27.6416221s,17m26.1443379s,15m58.3010367s,15359,12 - A9 to M7
15,1444.3896388778903,1060.4228994451798,899.8992565458046,24m4.38963888s,18m40.4228994s,15m59.8992565s,14550,12 - A9 to M7
16,1445.4034979766193,1079.0884112795263,923.0083556616376,24m5.40349798s,18m59.0884113s,15m23.0083557s,20815,12 - A9 to M7
17,1483.5956903258852,1091.3243762090747,927.5988355329142,25m43.5956903s,18m11.3243762s,15m27.5988355s,12088,12 - A9 to M7
18,1338.302123219339,1011.4812223718957,887.277552058258,22m18.3021232s,17m51.4812224s,15m47.2775521s,4413,12 - A9 to M7
19,1430.1197720413047,1052.7501616128184,896.4664515656791,24m50.119772s,18m32.7501616s,15m56.4664516s,4781,12 - A9 to M7
20,1284.540657010613,1002.4595270490222,880.1825585205831,21m24.540657s,17m42.459527s,15m40.1825585s,5043,12 - A9 to M7
21,1289.0996568419655,1024.9069499958912,880.2871754973954,21m29.0996568s,17m4.90695s,15m40.2871755s,7127,12 - A9 to M7
22,1214.4222351942424,982.1728020633735,879.7142257827392,20m14.4222352s,16m22.1728021s,15m39.7142258s,18894,12 - A9 to M7
23,1200.4390402163558,1009.2577879314583,896.3469223019654,20m0.439040216s,17m49.2577879s,15m56.3469223s,14413,12 - A9 to M7
0,1632.4097949190038,1067.203309060695,894.9755166742958,27m12.4097949s,18m47.2033091s,15m54.9755167s,4497,12 - M7 to A9
1,1440.3613081349088,1070.4892274880615,933.1566433987141,24m0.361308135s,18m50.4892275s,16m33.1566434s,3178,12 - M7 to A9
2,1504.062696833735,1131.6975769158648,951.7500867890693,25m4.06269683s,19m51.6975769s,16m51.7500868s,4377,12 - M7 to A9
3,1338.3724896401206,1057.8617381552572,926.2542674744768,22m18.3724896s,18m37.8617382s,15m26.2542675s,11466,12 - M7 to A9
4,1277.7143899404425,1017.1029634091698,878.6450199019347,21m17.7143899s,17m57.1029634s,15m38.6450199s,3633,12 - M7 to A9
5,1158.873902025079,960.1799415722543,873.0736660840803,19m18.873902s,16m0.179941572s,15m33.0736661s,10703,12 - M7 to A9
6,1332.2540498972312,1051.0813704247362,923.9355876968332,22m12.2540499s,18m31.0813704s,15m23.9355877s,20721,12 - M7 to A9
7,1356.2227286257444,1072.2923538589866,920.8113267212735,23m36.2227286s,18m52.2923539s,15m20.8113267s,21666,12 - M7 to A9
8,1556.3553946974191,1117.85833105615,941.2673457072785,26m56.3553947s,19m37.8583311s,16m41.2673457s,40184,12 - M7 to A9
9,1461.5444613685895,1084.3196864900403,923.6922403127605,24m21.5444614s,18m4.31968649s,15m23.6922403s,24488,12 - M7 to A9
10,1433.951260915408,1092.3459364247487,919.5566972817602,24m53.9512609s,18m12.3459364s,15m19.5566973s,20324,12 - M7 to A9
11,1427.2403699680285,1077.5972787149485,917.8135966685201,24m47.24037s,18m57.5972787s,15m17.8135967s,18086,12 - M7 to A9
12,1446.4902601758606,1079.864176439133,908.3690576609036,24m6.49026018s,18m59.8641764s,15m8.36905766s,17680,12 - M7 to A9
13,1394.4627168344537,1059.469016045781,904.2683210452391,23m14.4627168s,18m39.469016s,15m4.26832105s,16217,12 - M7 to A9
14,1400.8201369132482,1060.5838919523746,902.9288778510883,23m20.8201369s,18m40.583892s,15m2.92887785s,12884,12 - M7 to A9
15,1632.159690625374,1146.9579362896272,936.5484030878127,27m12.1596906s,19m6.95793629s,16m36.5484031s,11500,12 - M7 to A9
16,1878.0561789235687,1225.80515635788,967.214481434879,31m18.0561789s,20m25.8051564s,16m7.21448143s,9528,12 - M7 to A9
17,1501.1922492861806,1129.5492014264833,939.9159455452622,25m1.19224929s,19m49.5492014s,16m39.9159455s,6615,12 - M7 to A9
18,1325.3845822412536,1048.8124015246226,907.4081163607685,22m5.38458224s,17m28.8124015s,15m7.40811636s,7242,12 - M7 to A9
19,1249.871938974222,994.630639086773,885.6926269845752,21m49.871939s,17m34.6306391s,15m45.692627s,7886,12 - M7 to A9
20,1258.022946542188,1003.3142132374107,882.3831308862074,21m58.0229465s,17m43.3142132s,15m42.3831309s,14381,12 - M7 to A9
21,1285.4918056257518,1015.1045922675177,892.9503469373595,21m25.4918056s,17m55.1045923s,15m52.9503469s,16836,12 - M7 to A9
22,1308.3602617703998,1023.7259649509938,897.2071601010704,22m48.3602618s,17m3.72596495s,15m57.2071601s,12269,12 - M7 to A9
